country,country_code,region,income_group,skill_level,wage_usd_year,unit,capital,pathway,source
"Congo, Rep.",COG,Sub-Saharan Africa,Lower middle income,medium,2189.8684981546476,USD/year,Human Capital,Employment / training income valuation,Wages | VI — Valuing Impact (ILO + World Bank)
"Congo, Rep.",COG,Sub-Saharan Africa,Lower middle income,high,13492.619161540739,USD/year,Human Capital,Employment / training income valuation,Wages | VI — Valuing Impact (ILO + World Bank)
Colombia,COL,Latin America & Caribbean,Upper middle income,low,1277.6056067040984,USD/year,Human Capital,Employment / training income valuation,Wages | VI — Valuing Impact (ILO + World Bank)
Colombia,COL,Latin America & Caribbean,Upper middle income,medium,3062.1773464772205,USD/year,Human Capital,Employment / training income valuation,Wages | VI — Valuing Impact (ILO + World Bank)
Colombia,COL,Latin America & Caribbean,Upper middle income,high,14770.80220871458,USD/year,Human Capital,Employment / training income valuation,Wages | VI — Valuing Impact (ILO + World Bank)
Comoros,COM,Sub-Saharan Africa,Lower middle income,low,233.47457101635888,USD/year,Human Capital,Employment / training income valuation,Wages | VI — Valuing Impact (ILO + World Bank)
Comoros,COM,Sub-Saharan Africa,Lower middle income,medium,633.0140785424946,USD/year,Human Capital,Employment / training income valuation,Wages | VI — Valuing Impact (ILO + World Bank)
Comoros,COM,Sub-Saharan Africa,Lower middle income,high,3570.1068232241246,USD/year,Human Capital,Employment / training income valuation,Wages | VI — Valuing Impact (ILO + World Bank)
Cabo Verde,CPV,Sub-Saharan Africa,Lower middle income,low,1143.118820978401,USD/year,Human Capital,Employment / training income valuation,Wages | VI — Valuing Impact (ILO + World Bank)
Cabo Verde,CPV,Sub-Saharan Africa,Lower middle income,medium,2751.816582976943,USD/year,Human Capital,Employment / training income valuation,Wages | VI — Valuing Impact (ILO + World Bank)
Cabo Verde,CPV,Sub-Saharan Africa,Lower middle income,high,14832.364894710096,USD/year,Human Capital,Employment / training income valuation,Wages | VI — Valuing Impact (ILO + World Bank)
